Radar Type,Detection Type,Missile Type,Aircraft Type,Drone Type,Threat Level,Altitude,Speed,Distance From Target,Heading,Radar Signature,Detection Status,Target Class
Long-Range,Hybrid,Ballistic Missile,Fighter Jet,Fixed-Wing,Low,9006.36,506.57,375.83,247.08,0.42,0,None
Short-Range,Passive,Surface-to-Air Missile,Bombers,Quadcopter,Low,11420.56,337.03,452.21,280.32,0.61,1,Quadcopter
Short-Range,Active,Cruise Missile,Drones,Quadcopter,Low,13039.72,379.08,412.97,94.49,1.0,1,Drones
Medium-Range,Hybrid,Cruise Missile,Drones,Hybrid Drone,Low,14624.73,625.56,273.74,247.29,0.53,1,Hybrid Drone
Long-Range,Active,Cruise Missile,Passenger Aircraft,Hybrid Drone,High,5709.53,1270.01,296.29,15.51,0.39,0,None
Short-Range,Hybrid,Surface-to-Air Missile,Bombers,Fixed-Wing,High,1797.54,1377.26,343.22,45.61,0.21,1,Surface-to-Air Missile
Short-Range,Passive,Cruise Missile,Drones,Quadcopter,Low,3076.62,221.27,344.56,245.41,0.07,1,Quadcopter
Short-Range,Hybrid,Surface-to-Air Missile,Drones,Quadcopter,Low,691.37,1128.34,231.8,275.94,0.52,0,None
Short-Range,Active,Anti-Air Missile,Helicopter,Hybrid Drone,Medium,10932.6,363.26,199.63,227.81,0.91,1,Anti-Air Missile
Long-Range,Hybrid,Cruise Missile,Drones,Quadcopter,High,13154.96,1059.37,100.41,207.75,0.03,1,Cruise Missile
Short-Range,Active,Anti-Air Missile,Fighter Jet,Fixed-Wing,Low,17745.22,712.46,450.7,222.13,0.96,1,Fixed-Wing
Medium-Range,Passive,Surface-to-Air Missile,Fighter Jet,Quadcopter,High,18604.79,484.5,126.49,155.47,0.38,1,Surface-to-Air Missile
Short-Range,Passive,Cruise Missile,Helicopter,Quadcopter,Low,6606.36,277.88,270.66,91.18,0.12,1,Helicopter
Short-Range,Active,Surface-to-Air Missile,Passenger Aircraft,Fixed-Wing,High,12877.68,870.88,182.65,260.44,0.95,1,Surface-to-Air Missile
Long-Range,Active,Cruise Missile,Bombers,Quadcopter,Low,17150.47,808.36,355.21,342.06,0.05,1,Cruise Missile
Medium-Range,Active,Ballistic Missile,Bombers,Quadcopter,Medium,4427.25,818.73,433.51,228.24,0.62,1,Quadcopter
