Time of Detection,Latitude,Longitude,Vertical Speed,Acceleration X,Acceleration Y,Acceleration Z,Bearing Change Rate,Altitude Change Rate,Signal Strength,Frequency,PRI,Pulse Width,Electronic Warfare,IFF Code,Flight Plan,Communication Signals,Weapon Status,Number of Objects in Formation,Formation Type,Country of Origin,Object Behavior,Weather Conditions,Time of Day,Geographic Terrain,Proximity to Sensitive Locations,Current Air Traffic Density,Solar Activity,Sensor Reliability,Confidence Level (Detection),Confidence Level (Classification),Number of Sensors Detecting Object,Sensor ID
2025-03-07 02:50:50.784082,-33.007488,-126.76091,-33.45,4.33,-1.45,2.27,-8.93,1.53,-45.13,3922494492.63,820.24,20.09,Jamming,7200,"{'ID': 'FP7754', 'Departure': 'Airport_34', 'Arrival': 'Airport_14', 'Planned Altitude': 6579.98, 'Planned Speed': 581.28}","{'Frequency': 1649.67, 'Content': 'Encrypted', 'Language': 'English'}",Unknown,2,Line Abreast,US,Loitering,"{'Visibility': 40240.19, 'Wind Speed': 4.79, 'Cloud Cover': 7.53}",Twilight,Mountainous,83475.0,94,Low,83.17,83.25,65.9,5,SENSOR_7
2025-03-07 01:08:02.784082,82.568076,45.352674,41.35,4.12,-1.34,-4.94,1.98,-11.61,-48.24,2421464968.21,655.54,30.67,None,6399,"{'ID': 'FP1486', 'Departure': 'Airport_9', 'Arrival': 'Airport_21', 'Planned Altitude': 17596.08, 'Planned Speed': 677.0}","{'Frequency': 4368.64, 'Content': 'Standard', 'Language': 'English'}",Unarmed,2,V-Formation,IN,Loitering,"{'Visibility': 16720.11, 'Wind Speed': 18.81, 'Cloud Cover': 17.98}",Twilight,Flat,26065.0,80,Low,96.98,50.93,84.04,5,SENSOR_14
2025-03-07 06:38:46.784082,-25.730555,-132.516254,0.21,4.14,-3.4,0.61,-9.72,-17.99,-37.24,6415278169.73,41.85,35.64,None,8401,"{'ID': 'FP3241', 'Departure': 'Airport_33', 'Arrival': 'Airport_40', 'Planned Altitude': 31806.9, 'Planned Speed': 805.45}","{'Frequency': 9266.91, 'Content': 'Standard', 'Language': 'English'}",Armed,2,V-Formation,CN,Aggressive Maneuvers,"{'Visibility': 30147.14, 'Wind Speed': 12.6, 'Cloud Cover': 72.93}",Day,Flat,67799.31,14,Medium,93.43,67.7,52.47,3,SENSOR_2
2025-03-07 03:08:57.784082,-30.669537,-33.031357,44.26,-1.42,-0.58,-0.89,-1.57,-15.77,-66.23,9270062671.36,972.07,81.51,Spoofing,7246,"{'ID': 'FP6340', 'Departure': 'Airport_34', 'Arrival': 'Airport_25', 'Planned Altitude': 27317.82, 'Planned Speed': 330.38}","{'Frequency': 4485.26, 'Content': 'Standard', 'Language': 'Unknown'}",Unknown,4,Line Abreast,DE,Aggressive Maneuvers,"{'Visibility': 47526.31, 'Wind Speed': 6.68, 'Cloud Cover': 70.31}",Day,Coastal,25845.21,23,High,99.01,90.78,99.64,4,SENSOR_9
2025-03-07 14:23:56.784082,-78.758096,-14.499615,-29.71,0.8,2.07,-3.54,4.44,-8.8,-14.16,1719594184.74,106.61,1.6,Spoofing,1141,"{'ID': 'FP4744', 'Departure': 'Airport_35', 'Arrival': 'Airport_29', 'Planned Altitude': 1571.02, 'Planned Speed': 502.75}","{'Frequency': 674.07, 'Content': 'Encrypted', 'Language': 'English'}",Unknown,1,None,UK,Aggressive Maneuvers,"{'Visibility': 47302.94, 'Wind Speed': 11.47, 'Cloud Cover': 66.22}",Day,Flat,28899.3,92,Medium,65.3,86.52,78.25,5,SENSOR_2
2025-03-07 02:30:17.784082,-44.904843,169.186366,-33.12,-0.78,2.21,-0.61,-1.21,10.2,-87.98,3022611135.68,65.98,1.87,Unknown,9240,"{'ID': 'FP3131', 'Departure': 'Airport_24', 'Arrival': 'Airport_41', 'Planned Altitude': 23517.69, 'Planned Speed': 364.33}","{'Frequency': 6747.01, 'Content': 'Encrypted', 'Language': 'English'}",Unarmed,2,V-Formation,RU,Direct Approach,"{'Visibility': 39455.78, 'Wind Speed': 9.71, 'Cloud Cover': 95.99}",Night,Mountainous,16257.76,89,Low,85.6,70.74,74.35,5,SENSOR_12
2025-03-07 21:46:08.784082,-71.429398,152.521808,-16.04,-2.26,-4.04,-4.08,7.49,-0.01,-5.31,5231461444.08,886.18,60.64,Spoofing,6334,"{'ID': 'FP3479', 'Departure': 'Airport_23', 'Arrival': 'Airport_6', 'Planned Altitude': 1239.14, 'Planned Speed': 325.61}","{'Frequency': 5131.43, 'Content': 'Encrypted', 'Language': 'English'}",Unknown,3,Echelon,PK,Loitering,"{'Visibility': 26541.42, 'Wind Speed': 22.94, 'Cloud Cover': 39.83}",Night,Flat,47486.02,9,Medium,89.63,98.15,71.83,1,SENSOR_18
2025-03-07 12:41:43.784082,-33.015369,-109.469368,1.91,-2.46,1.0,3.19,0.86,4.49,-74.9,3894728854.56,987.31,91.9,Spoofing,3242,"{'ID': 'FP7650', 'Departure': 'Airport_46', 'Arrival': 'Airport_8', 'Planned Altitude': 12824.98, 'Planned Speed': 880.79}","{'Frequency': 4901.13, 'Content': 'Encrypted', 'Language': 'English'}",Unarmed,5,V-Formation,DE,Loitering,"{'Visibility': 16186.6, 'Wind Speed': 12.03, 'Cloud Cover': 73.47}",Day,Flat,47941.12,27,Low,84.8,71.78,62.32,3,SENSOR_3
2025-03-08 01:02:42.784082,30.286669,10.560753,5.45,-0.83,4.16,-1.07,0.69,12.05,-80.62,6985634133.09,80.6,61.07,Spoofing,1326,"{'ID': 'FP5029', 'Departure': 'Airport_21', 'Arrival': 'Airport_49', 'Planned Altitude': 17577.96, 'Planned Speed': 228.61}","{'Frequency': 3144.26, 'Content': 'Standard', 'Language': 'English'}",Armed,5,Line Abreast,RU,Aggressive Maneuvers,"{'Visibility': 47878.48, 'Wind Speed': 25.14, 'Cloud Cover': 33.8}",Day,Coastal,94468.93,15,High,74.43,73.58,64.99,3,SENSOR_10
2025-03-07 13:29:53.784082,-52.498831,86.788877,27.44,-1.69,-1.33,0.07,-2.4,-1.71,-87.37,6161570529.81,151.57,64.38,None,8903,"{'ID': 'FP7577', 'Departure': 'Airport_33', 'Arrival': 'Airport_18', 'Planned Altitude': 18807.4, 'Planned Speed': 504.33}","{'Frequency': 1332.57, 'Content': 'Standard', 'Language': 'English'}",Armed,6,Echelon,FR,Loitering,"{'Visibility': 23061.55, 'Wind Speed': 11.39, 'Cloud Cover': 68.55}",Night,Coastal,21162.08,11,Low,73.89,59.91,65.89,2,SENSOR_18
